# every line below is of the form  "<CellName> <BlockNumber>"
# cells that do not belong to any block will have BlockNumber = -1
# blocks with BlockNumber from 0 to 39 are placed blocks
                                           along-1    -1
                                          along-10    -1
                                          along-11    -1
                                          along-12    -1
                                          along-13    -1
                                          along-14    -1
                                          along-15    -1
                                          along-16    -1
                                          along-17    -1
                                          along-18    -1
                                          along-19    -1
                                           along-2    -1
                                          along-20    -1
                                          along-21    -1
                                          along-22    -1
                                          along-23    -1
                                           along-3    -1
                                           along-4    -1
                                           along-5    -1
                                           along-6    -1
                                           along-7    -1
                                           along-8    -1
                                           along-9    -1
                                               I17    -1
                                               I18    -1
                                               I20    -1
                                               I21    -1
                                               I22    -1
                                               I23    -1
                                               I30    -1
                                               I31    -1
                                               I32    -1
                                               I33    -1
                                               I38    -1
                                               I39    -1
                                               I40    -1
                                               I41    -1
                                               I51    -1
                                               I52    -1
                                               I53    -1
                                               I54    -1
                                               I55    -1
                                            I62_0_    -1
                                            I62_1_    -1
                                            I62_2_    -1
                                            I62_3_    -1
                                            I62_4_    -1
                                            I62_5_    -1
                                            I62_6_    -1
                                            I62_7_    -1
                                            I64_0_    -1
                                            I64_1_    -1
                                            I64_2_    -1
                                            I64_3_    -1
                                            I64_4_    -1
                                            I64_5_    -1
                                            I64_6_    -1
                                            I64_7_    -1
                                            I65_0_    -1
                                            I65_1_    -1
                                            I65_2_    -1
                                            I65_3_    -1
                                            I65_4_    -1
                                            I65_5_    -1
                                            I65_6_    -1
                                            I65_7_    -1
                                            I65_8_    -1
                                            I65_9_    -1
                                               I67    -1
                                               I68    -1
                                               I69    -1
                                               I70    -1
                                            necorn    -1
                                            nwcorn    -1
                                            secorn    -1
                                            swcorn    -1
                                            brc/I0     1
                                            brc/I1     1
                                           brc/I10    34
                                           brc/I11    15
                                           brc/I12    15
                                           brc/I13    35
                                           brc/I14    15
                                           brc/I15    15
                                           brc/I16    35
                                           brc/I17    34
                                           brc/I18    34
                                           brc/I19    32
                                            brc/I2     1
                                           brc/I20    34
                                           brc/I21    34
                                           brc/I22    15
                                           brc/I23    15
                                           brc/I24    30
                                           brc/I25    30
                                           brc/I26    32
                                           brc/I27    32
                                           brc/I28    33
                                            brc/I3     1
                                           brc/I33     6
                                           brc/I34     6
                                           brc/I35     6
                                           brc/I36     6
                                            brc/I4     1
                                            brc/I6    31
                                            brc/I7    31
                                            brc/I8    31
                                            brc/I9    34
                                            dma/I0    20
                                            dma/I1     3
                                           dma/I10     3
                                           dma/I13     0
                                           dma/I14     3
                                           dma/I15    20
                                           dma/I16    20
                                           dma/I17    21
                                           dma/I18     0
                                           dma/I19     0
                                            dma/I2     3
                                           dma/I20     0
                                           dma/I21    22
                                            dma/I3    20
                                            dma/I4    20
                                            dma/I5     3
                                            dma/I6    21
                                            dma/I7    20
                                            dma/I8     0
                                            dma/I9     0
                                                I0     0
                                               I10    17
                                               I11    17
                                               I12    17
                                               I13    17
                                               I14    17
                                               I15    16
                                                I2    22
                                                I3    34
                                                I4    31
                                               I56    31
                                             lc/I0    22
                                             lc/I1    24
                                            lc/I10    23
                                            lc/I11    25
                                            lc/I12     5
                                            lc/I16    25
                                            lc/I17    25
                                            lc/I18     4
                                            lc/I19    24
                                             lc/I2    22
                                         lc/I21/I0     5
                                         lc/I21/I1     4
                                         lc/I21/I2    24
                                         lc/I21/I3    23
                                            lc/I22    23
                                            lc/I23    23
                                            lc/I24    25
                                            lc/I25    32
                                            lc/I26    22
                                            lc/I27    25
                                             lc/I3    22
                                             lc/I4     5
                                             lc/I5     5
                                             lc/I6     4
                                             lc/I7     5
                                             lc/I8    24
                                             lc/I9    24
                                         mux/hnl_0    18
                                         mux/hnl_1    18
                                        mux/hnl_10    16
                                        mux/hnl_11     9
                                        mux/hnl_12     9
                                        mux/hnl_13    13
                                        mux/hnl_14    14
                                        mux/hnl_15    11
                                         mux/hnl_2    16
                                         mux/hnl_3    10
                                         mux/hnl_4    10
                                         mux/hnl_5    13
                                         mux/hnl_6    14
                                         mux/hnl_7    11
                                         mux/hnl_8    18
                                         mux/hnl_9    18
                                         mux/I0_0_    18
                                         mux/I0_1_    18
                                         mux/I0_2_    16
                                         mux/I0_3_    10
                                         mux/I0_4_    10
                                         mux/I0_5_    10
                                         mux/I0_6_    10
                                         mux/I0_7_    10
                                            mux/I9    18
                                         rfc/I0/I0     2
                                         rfc/I0/I1     2
                                        rfc/I0/I10     8
                                        rfc/I0/I11     2
                                        rfc/I0/I12     8
                                        rfc/I0/I13     8
                                        rfc/I0/I17     8
                                        rfc/I0/I18     8
                                         rfc/I0/I2     9
                                         rfc/I0/I3     7
                                         rfc/I0/I4     2
                                         rfc/I0/I5     2
                                         rfc/I0/I6     9
                                         rfc/I0/I7     7
                                         rfc/I0/I8     2
                                         rfc/I0/I9     8
                                         rfc/I1/I0     9
                                         rfc/I1/I1    13
                                        rfc/I1/I10    11
                                        rfc/I1/I11    12
                                        rfc/I1/I12    12
                                        rfc/I1/I13    12
                                        rfc/I1/I17    12
                                        rfc/I1/I18    12
                                         rfc/I1/I2    14
                                         rfc/I1/I3    11
                                         rfc/I1/I4     9
                                         rfc/I1/I5    13
                                         rfc/I1/I6    14
                                         rfc/I1/I7    11
                                         rfc/I1/I8    12
                                         rfc/I1/I9    12
                                            rfc/I5     7
                                            rfc/I6     7
                                            rfc/I7     7
                                            sel/I0    33
                                            sel/I1     6
                                           sel/I17    33
                                            sel/I2    28
                                           sel/I25    19
                                           sel/I27    19
                                           sel/I28    19
                                            sel/I3    16
                                      sel/I4/CMP10    38
                                      sel/I4/CMP11    28
                                      sel/I4/CMP12    38
                                      sel/I4/CMP13    29
                                      sel/I4/CMP14    28
                                      sel/I4/CMP15    38
                                      sel/I4/CMP16    36
                                      sel/I4/CMP17    36
                                      sel/I4/CMP18    36
                                      sel/I4/CMP19    29
                                      sel/I4/CMP20     6
                                      sel/I4/CMP21     6
                                      sel/I4/CMP22    39
                                      sel/I4/CMP23    30
                                      sel/I4/CMP24    39
                                      sel/I4/CMP25    27
                                      sel/I4/CMP26    27
                                      sel/I4/CMP27    27
                                      sel/I4/CMP28    37
                                      sel/I4/CMP29    37
                                      sel/I4/CMP30    39
                                      sel/I4/CMP31    37
                                      sel/I4/CMP32    37
                                      sel/I4/CMP33    36
                                      sel/I4/CMP34    38
                                      sel/I4/CMP35    38
                                      sel/I4/CMP36    39
                                      sel/I4/CMP37    29
                                      sel/I4/CMP38    29
                                      sel/I4/CMP39    28
                                      sel/I4/CMP40    28
                                      sel/I4/CMP41    29
                                      sel/I4/CMP42    26
                                      sel/I4/CMP43    26
                                      sel/I4/CMP44    26
                                      sel/I4/CMP45    26
                                      sel/I4/CMP46    27
                                       sel/I4/CMP9    39
                                            sel/I5    29
                                            sel/I6    17
                                            sel/I7    36
                                            sel/I8    33
